section,subsection,name,description
门派武功,门派武功,三象归元,是神气脉三者之间的关系。神与脉合；神与气合；舍气从脉；气、脉、精神天人合一。
门派武功,门派武功,最高境界——洗毛伐髓,"乃练武成上丹最终目的，注重""心穴""上的脑海锻炼。**革面洗心**：乃练成下丹最终目的，注重""心穴""以下的丹田锻炼。 所谓""后天之气""就是胸肺中的气，因为那是外间吸进来的；""先天之气""是指丹田气海中的气，乃是人类自母体产出后就赋的。对吐纳功夫有了修养的人则可令二气混而为一称为""气通""，到了气通的境界""先天之气""与""后天之气""上下交结，无形中就似在体内结成一粒丹丸之物可上下转动，这便是所谓的""内丹""。"
门派武功,门派武功,正宗内功心法要诀,神游象外，意存丹田，露台明净，毋愈毋嗔。
门派武功,门派武功,拳家有云,敌不动己不动，敌一动己先动，讲究得便是制敌机先的奥妙。因为敌一动必是向己方某一点进攻，他的全部精神就集中在一点上，若自己比他出手更快，避开了他的攻击点便可以攻入他的空门。
门派武功,门派武功,轻功,一般人施展轻功使脚尖先行着地，年纪大的人肌肉的弹力较弱，但用脚跟着地，地面所受的力道较大，弹起的时间比脚尖着地的时间长，将重身法和轻身法混合使用，以功力补弹力之不足。
门派武功,门派武功,剑法,快、狠、稳、准四字诀。
门派武功,门派武功,打穴,用兵器作点穴镢来打穴。**点穴**：用手指去点对方穴道。**拂穴**：用拂尘扫封闭敌人穴道。 天山剑法之博，达摩剑法之奇，玄女剑法之妙，白发魔女独门剑法之奇诡并称**四大剑法**。
门派武功,少林派,罗汉五行拳,"达摩祖师所创，是五种拳法的总称——""龙拳""""虎拳""""豹拳""""鹤拳""""蛇拳""，共一百零八招。
- ""龙拳""旨在练神，注重轻静变化内劲最长
- ""虎拳""旨在练骨，注重起落有势刚猛伤残
- ""豹拳""旨在练力，注重跳搏凶狠变化灵捷
- ""蛇拳""旨在练气，注重舒展灵活最为机巧
- ""鹤拳""旨在练精，注重稳准狠凝一击即中要害 招式：""苍龙出海""""抱虎归山""""铁肩撞山"""
门派武功,少林派,闯少林三十三路神拳,"少林三十三代主持无住禅师将达摩祖师传下的""罗汉五行拳""加以变化创出了三十三路拳术。"
门派武功,少林派,闯少林,"共三十七势，最刚猛""躺身切掌""""奈击掌""""冲天炮""。
> 闯少林拳诀有云：善恶分明招手扬，穿花左右换弓挡，黄莺落架寒鸦步，向左穿身抱身忙，左起冲天拳左挑，连珠踩退势坚强，马裆蹲坐冲拳发，贯耳双拳撞太阳，平沙落雁翻身转，弓步顶心肘莫当，白鹤亮翅双花手，挂面抛拳打面庞。少林拳共分六路：一曰""闯少林""，二曰""提虑少林""，三曰""文少林""，四曰""拗步少林""，五曰""武少林""，六曰""神化少林""。"
门派武功,少林派,龙爪手,少林七十二门绝技之一，出手如电每一招都虚实相生，变化莫测，只要对方防御稍有疏忽立即可以由虚变实抓住对方的要害穴道。
门派武功,少林派,《太虚真经》《太玄真经》,少林练神、练气内功心法。
门派武功,少林派,神化少林,"少林十三种拳法中变化最为深奥的拳法，""黄莺落架""。"
门派武功,少林派,罗汉伏虎拳,"少林镇山拳法，绝招""翻身射虎""。"
门派武功,少林派,佛珠降魔,少林三大绝技之一，一百零八颗念珠变作暗器打向人身六道穴。
门派武功,少林派,疯魔杖法,"八八六十四路，""毒蛇寻穴""""铁锁横舟""。"
门派武功,少林派,金刚杵、擒龙手,少林七十二门绝技。
门派武功,少林派,金刚不坏身法,诸毒不侵。
门派武功,少林派,铁指禅,少林绝技。
门派武功,少林派,绵掌,"讲究以柔克刚，练到最神妙的境界可以轻轻一掌击石如粉。""孔雀抖翎""。"
门派武功,少林派,伏魔杖法,最刚猛的杖法。
门派武功,少林派,伏魔剑法,"""韦陀降虎""""金刚伏魔""。"
门派武功,少林派,罗汉拳,少林入门拳法，最能舒筋活络。
门派武功,少林派,伏虎棍法,"""横扫千军""""夹山超海""。 其他：伏魔铲法、十八罗汉手、""定珠降魔""、大力金刚掌、琵琶掌、般若神功、凳拐、连环无影脚、铁袖功。 拳脚招式：""魁星踢斗""""躺裆切掌""，杀手""五龙抓面""。 大枪招：""乌龙出洞""""将军下马""。"
门派武功,武当派,武当心法,从无到有，无中生有，心无沾滞，流水行云，任彼金刚猛扑，四两可拨千斤。
门派武功,武当派,太极剑法,"武当派开山祖师张三丰晚年所创，博大精深奥妙无穷，必须有相当深厚内功为基础。讲究意在剑先，意先招后，先后却正是相反相成，借对方之力以为己用，随势伸屈，任彼如泰山压顶，我只当清风拂面，以静制动。太极无始无终，剑法变化无穷，练到炉火纯青境界招数全都忘了也不要紧。 招式：""起手式""""两仪相生""""四象循环""""六和混同""""八卦循环""""颠倒阴阳""""金针度线""""抽撤连环""""三环套月""""天绅倒挂""""龙跃深渊""""三转法伦""""白鹤亮翅""""铁锁横江""""玄鸟划砂""""叠翠浮青""""跨虎登山""""苏秦背剑""""如封似闭""（不求守而自守、不求攻而自攻）、""众妙之门""""卧听松涛""（牟沧浪所创）。"
门派武功,武当派,剑诀,"要旨太极圆转，无使断缺，意在剑先，绵绵不绝。**心得**：从有到无，无中生有。
> 所谓""从有到无，无中生有""亦即是重视""剑意""的意思，参透上乘剑术之后，随意挥洒皆成妙手，看似无招实是有招。 （西门燕将太极剑法融入惊涛剑法之中，东方亮在太极剑法中融入了飞鹰回旋剑法）"
门派武功,武当派,《达摩秘籍》,
门派武功,武当派,达摩易筋经,"一百零八式，扎根基功夫""九图六坐像"""
门派武功,武当派,达摩剑法,少林派始祖达摩尊者在嵩山面壁十八年之后所妙悟的一套剑法，共三十三招，可回环运用变化奇绝，往往一个招式就可变出许多招式来。宋代末年少林武当分家，剑谱流入武当派。以静制动，以气运力，对内功修炼大有帮助。
门派武功,武当派,伏魔剑式,七十二式，最为威猛
