rank,title,novel,description
1,剑闯名山，红颜觅知己,白发魔女,"在梁羽生三十五部小说，成百上千场大战中，选出最经典的一场确实较难。最后经比较我还是选了这一场。《白发魔女》一书中，玉罗刹在武当山独战武当剑阵最让我感到心动。一方是玉罗刹一人一剑，另一方是整个武当派。为了爱情，玉罗刹独对武当剑阵。这一战从一定意义上已不仅仅是单纯的比剑，更代表了一场争取爱情之战，一场外来力量挑战传统礼法之战。

    严密的剑阵，有如铜墙铁臂般的强大，正好比世俗传统礼法般的强大、顽固，使得体制内的每一个人为之窒息，而不得不屈服于其中。然而玉罗刹却非体制内的人，她那融会百家而又反其道而行之的剑法，正好代表着外来力量对顽固传统所形成的一种强力冲击，从而使得这场碰撞显得火花四溅。

    玉罗刹所代表的力量虽然未及武当剑阵所代表的道统般根深蒂固，甚至一定程度上会表现出孤立无助，但玉罗刹仍一往无前地去争取，去挑战，既为了她心目中的爱情，更表现出她对那种根深蒂固的礼法观念的颠覆，整场战斗中让人感受到活生生的一个玉罗刹。

    然而这场惨死的挑战和角逐，最终胜负的决定性并不在交战的双方，而是在处在这种争夺旋涡中的卓一航，正是他的态度主宰了整场决战。就强弱而言，武当剑阵实力比玉罗刹更为强大，以玉罗刹的武功，大概和武当三老联手差不多。何况力抗四老加四大弟子组成的剑阵，但是危急关头她领会了卓一航的关心，原因是两个人对爱情的共同追求最大限度激发了她的斗志，形成了巨大的力量，武当剑阵在这种冲击下已是摇摇欲坠。但是当剑阵面临崩溃之际，却又是卓一航的弹弓解围化解了危机，更深深伤透了她的心，从中又可看到尽管传统礼法是僵化、压抑，但其中也隐藏着人性中亲情、伦理，方能维系数千年而不倒，这种感情是任一个追求自由的体制中人所不能无视的，玉罗刹作为体制外的人可以无视、甚至不能理解这份亲情，但是卓一航却绝对不能，因此最终卓一航还是向玉罗刹出手了，因为这场决战最终演变为爱情同亲情的角逐，结局是"
2,卅年恩怨一朝结，双剑合璧斗大盗,,"羽生先生的武功中写得最好是什么，当然是剑了。什么剑法写得最美、最精彩，我认为是双剑合壁。

    双剑合壁贯穿了整部小说，正是双剑合壁的威力倍增打退了多少强敌，渡过了多少劫险，双剑合璧成了沟通心灵的最好渠道，使得谁也离不开谁，更任谁也无法舍谁。

    最终，双剑合壁的威力还要在天下绝顶高手面前验证一下。玄机逸士创双剑合壁的本意，是想让它打败与他齐名的高手上官天野。这套剑法能否收到效果是每个读者所想要知道的，羽生先生在书中给了我们一个答案。羽生先生让谢天华与叶盈盈、张丹枫与云蕾两套双剑合壁迎战上官天野。两套双剑合壁，犹如大小两只孔雀开出美丽的花屏，配合得妙到绝巅。在阅读这一战中，闭上眼睛真能感受到那显耀的剑光。

    同时让这套剑法排解了张丹枫和云蕾的恩恩怨怨。不论是处于颠狂的张丹枫还是心死的云蕾，在双剑合壁后又恢复了灵气，将这份默契淋漓尽致地发挥出来，他们之间是多么紧紧地联系在一起，多大的力量也来能将他们分开。这不是每一个武林中人一生中都有机会遇到这样一战，面对百年不遇的强敌，无论是战局中人，还是观战的人都会忘掉一切恩怨情仇，全情投入这场百年不遇的大战中，不管结局怎样，但正如孔雀开出最美的花屏一样，这时他们心中已没留半点遗憾，但是又多么希望这一战不要那么快的结束，因为一旦结束，他们又将失去那份心灵交流的默契，重新面临着厚厚的障壁中。

    但然而双剑合璧虽然精妙，上官天野也是绝顶神功。谢天华和叶盈盈的双剑合璧被他所制，加上张云的双剑合璧也不过是平手之局，最后，上官天野只是为了逞强接董岳的拜帖才让双剑乘虚而入，但结局仍是一个两败俱伤之局。毕竟是与玄机逸士齐名的绝顶高手，如果让玄机逸士的弟子比下去也确实有损其声名。最后让玄机逸士出手化解了这一场比试，双方皆大欢喜，也颇见羽生先生苦心及笔力。"
3,"红烛未残妖女至,冰峰较技掌门危",,"天山顶上，婚礼大典，武功大成的厉胜男向当世第一高手唐晓澜下了战书，这是一场延续了三百年的恩怨，为了这一战，乔北溟门下、厉抗天家族足足等了三百年，为的正是让乔北溟的武学压倒张丹枫的武学，一雪三百年前战败之耻，这也注定了这一战无论结果，都将在武林史上书写重重的一笔。

    正是这份沉重的使命，注定了厉胜男的一往无前，甚至一定程度上显得不择手段，综观整场大战，厉胜男可谓用尽手段，武功、巧计、宝物、再加自残身体的天魔解体，无所不用。虽然同样是传统的剑、内功、暗器三场比试，但是厉在比剑中先利用宝甲假装中剑再行反击，内功比试是利用阿修罗花加上天魔解体击败唐晓澜，再利用玉弓的威力取胜暗器之战，观看这一场决战，当震惊于厉胜男的处处机心，又惊叹于她的苦心、倔强，更叹服于羽生先生的文笔，在感受紧张过程中表现厉的苦心、厉的叛逆，尽管不是所有的人都喜欢这样，但不得不对她叹服。

    正如淡冲襟兄所说，光大门庭和得到爱情是厉胜男一生的梦想，也是一个死结。既然眼看爱情失去，她只有通过第二个心愿慰解她失去爱情的悲痛，也或许是向心上人的一个报复。正如她在射第三箭之时，曾想到这一箭射的其实不是唐，但会是谁呢，羽生先生给读者留下了一个想像的空间？或许她这一箭为了比武，更是为了即将失去的爱情，唐晓澜是将金世遗引向正途的导师，是金世遗内心的一尊神，正是唐晓澜的指引使得金世遗走向正道，而无法接纳厉胜男，厉胜男这一箭为了比武的胜利，更是为了射碎金世遗内心的信仰。

    比武的结局厉胜男无可争议地胜了，让唐晓澜、金世遗及在场的众多高手都无话可说，她最终完成了家族赋予她的使命。但是从比武的过程看，乔北溟的武学依然未能压倒张丹枫的传人，即便厉胜男也承认唐晓澜的武学修为远高于她，整场比武中。唐晓澜充分表现了作为天下第一的风范、大度，对厉处处留有余地，又在最后亲口认输，即使是作为对手的厉胜男也为之心折。一定程度上这"
4,冰河决战，铁马金戈一生愁,七剑下天山,"高手之间的单打独斗固然精彩，但高手之间的生死混战也可以写得经典。《七剑下天山》在写高手之间的混战极为独到，而最为经典的，莫过于冰河之上，正邪双方的那一场大对决。凌末风、辛龙子、刘郁芳、石天成、武琼瑶与楚昭南、齐真君、成天挺、天蒙及清廷卫士之间展开了一场生与死的拼杀。整个场面庞大而不混乱，各个战场穿插描述，却没有让人产生混乱的感觉，羽生先生架驭大场面的功力在这场决战中可见一斑。

    自古以来，对叛徒的憎恨尤甚于敌人，同样在叛徒的心中，最大的敌人正是昔日的战友，因而自凌末风下山之后，他与楚昭南两者注定是一种不死不休的关系。在武功上凌末风稍胜，但是楚昭南却是依附着强大的势力集团，两者之间的决斗更好比英雄对一个强大堡垒，一开始注定是不公平的，因此除了初次交锋凌末风依仗个人武功占得上风外，此后数次交手都是面对楚昭南的围攻而处在下风，冰河一战中凌末风同样是处于这种极度不利的局面，面对楚昭南及十数名清廷高手的围攻依然无畏无惧，剑气纵横中表现出的舍生忘死的精神让人心折。

    同样惨烈的还有辛龙子、刘郁芳等一众战友，每个人都面临着强敌，时刻面临着死亡的威胁，但是每个人在绝境中都激发出最大的勇气和力量，同敌手进行舍生忘死的搏杀，冰河的奇景，剑气的寒光，飞溅的鲜血，好一幅古战场画面，悲壮、惨烈尽展于面前。辛龙子、石天成与齐真君、天蒙同归于尽，刘郁芳坠崖，对手也是死伤殆尽。

    绝境中的刘郁芳终于让凌末风说出隐藏在心中的秘密，同样绝境中的凌末风凭借绝世武功及刘郁芳坠崖的最后呼唤所激发的斗志最终战胜了楚昭南的围攻，并将对手迫上绝境，却在最后关头旧病复发而束手就擒，从而让人留下无尽的遗憾。就这个结局而言以前西陆的朋友IROCA曾认为羽生先生处理得不太好，有点故弄玄虚。让凌末风力尽被擒本也无损他的英雄气慨。我个人也觉得这种看法有道理。但羽生先生在表现凌末风英雄的同时，更表现出凌末风内心"
5,恶斗凶顽，拼将一死酬知已,游剑江湖,"比较武侠三大名家，我觉得金庸不大喜欢写正邪主角的大对决，梁羽生和古龙却较为喜欢写这样的决战。相比之下，古龙多为虚写，如小李飞刀与上官金虹，羽生先生没有明写二人之间的决战，但是留给了读者许多想像的空间。梁羽生却是注重实写，让读者在一笔一墨之间感受决战的全过程，两者之间孰优孰劣只能各凭读者之喜爱了。

    而梁羽生小说中，最经典的正邪大决战，我个人认为当数《游剑江湖》一书结尾缪长风恶战北宫望。两军血战的疆场为这场决战提供了背景舞台，缪长风与北宫望，一代豪侠同一代枭雄，面对面进行着一场不死不休的大对决，尽管缪长风与北宫望武功相当，但是为了民族大义，为了师门之仇，缪长风以命搏命，以必胜的信念誓要斩杀对手于剑下，比剑、拳掌、天魔解体、太清气功强烈碰撞，整场决战扣人心弦，缪长风那一往无前的气势让人心折，或许他有心求死，拼将鲜血洒于战场上，以求摆脱他那饱经痛苦折磨的心灵，为此他多次拒绝了北宫望的遘和请求，因为报仇的信念超过了求生的欲望；北宫望虽困兽犹斗，以求觅得一线生机，但是在缪长风的复仇怒火下显得信心不足，最终缪长风顶住了北宫望天魔解体的连番冲击而两败俱伤，虽然未能战胜对手，但更重要的是未让对手从战场中逃脱。

    唐天纵和云紫萝又在刚熄火的战场开展了生死对决，危机关头缪长风凭着超强的信念击杀唐天纵，最终正义战胜了邪恶，但缪长风和云紫萝之 间又面临着生与死的抉择。云紫萝最终牺牲了自己，因为她同样饱受着感情的折磨，或许一死能够得以解脱，以成全了心中的爱人，从而 觅得心中的宁静。整个篇章在铁血中感受柔情，在柔情在体验血与火，是武侠不可多得的经典之战。"
6,自古虚名多误人，天下第一又如何,还剑奇情录,"武侠小说经常写到这样的一个话题，谁是天下第一？多少英雄人物为着这个虚名而迷失了自我，最终落了个凄凉结局。《还剑奇情录》的几场比试正是围绕着这个“天下第一”而展开，其过程堪称经典。
为了这个名头，云舞阳数十年苦心，分别从两个妻子手中得到了宝剑和剑谱，多年苦练，最终三场大战，让他当之无愧的成为第一高手，然而他得到了什么？
首战对石天铎，当年的同僚，也是当年排名在他前面的对手，是他成为第一高手所要迈过的第一道坎，为着这一战云舞阳足足准备了十八年，武功之外更加上过人心机，先利用石天铎刚开始未出全力，消耗了石天铎的内力，并削损的他的笔尖。又显示君子风度以示公平。在最后关头突施杀手一举成功。整个过程中达摩剑法、天罡掌法、神笔点穴，当世一流武功大碰撞，可谓精彩异常，无法用语言加以形容，只能通过书中慢慢感受。石天铎的豪迈，云舞阳的深沉，不择手段都得到很好的表现。当然这是一场不公平之战，因为石天铎已受伤在先，公平交战胜负难料。石天铎是真正的英雄，云舞阳却是胜利者。

    对武当五老一战表现了云舞阳的傲气，同时也表现了他的智慧。五雷天心掌，这套武功在梁羽生小说中只在本书出现过，五人联手，威力惊人。连云舞阳在几番无法突围。依然有着终绝高手的骄傲，在处于下风仍拒绝用剑，同时有着惊人的智慧，示敌以弱，诱敌深入，在绝地中反击，以一指禅破了武林五老的五雷天心掌。

    最后一战对毕凌风，虽然功力损耗，仍苦苦周旋，在紧急关头武当五老又发觉毕凌风为杀师仇人，以五雷天心掌相助云舞阳最终击退毕凌风，其实后二战如果用剑，云舞阳取胜的可能性更大，但或许除了石天铎外，天下再无第二人值得他亮出宝剑。

    三战中，云舞阳充分表现出他的武功、心机、傲气、智慧，他是当之无愧的天下第一，他多年的追求最终得到证实，但他的生命同时也走到了尽头，空有这个虚名又有何意义。这场决战曲折反复，当为武侠世界中一场顶尖高手的经典"
7,三场比试决生死，谁是侠来谁是魔,,"中州大侠徐中岳的续弦大礼，魔头飞天神龙寻仇，揭开了武林中的一个谜团，三年前的一场比试再度续写。
一方是名满天下的中州大侠，一方是作恶多端的飞天神龙，内容依然是传统的暗器、内功、剑法，但是模式却是得到了创新，比武方式类似上下斗气的比试，一方主攻，一方主守，而后互易攻守，让读者感受到了一场别开生面的比试。翦大先生口中复述的三年前那场比武，真相竟是实力对比如此悬殊，中州大侠的三大绝技在飞天神龙面前如此不堪一击。三年后的这场比试又将如何续写？

    武侠小说中实力悬殊的武打通常不大好写，但是这场推迟了三年的比试却显精彩万分，差不多两回的篇幅却高潮迭起，上下半场，每场三节，六节比试的前后，对中州大侠、飞天神龙来说都是都是一次抉择，明着写武，实是表现个人，让人看出谁是真正大侠？谁又是伪君子？然而大侠也好、伪君子也好，他们的内心世界都是随着比武的进行而不断的变化，这种变化也牵引着现场观众和读者的心。

    透过这场比武，一众旁观者的个性色彩也得到很好的表现，典型如楚天舒的洒脱狂傲，对中州大侠的不屑；申公达的趋炎附势，还有现场群豪从对飞天神龙的不屑，到被他的绝世武功、光明磊落所折服，公证人翦大先生和游扬立场态度变化，徐中岳朋友、女儿、弟子在这场生死决战中的反应等都得到很好表现。

    写武的同时更突出一个“谜”字。飞天神龙究竟与中州大侠有何过节？飞天神龙与新娘的关系？中州大侠的真面目？除楚天舒之外，暗中出言相助的又是谁？一切悬念都随着比武的进行逐一出现，让人欲罢不能。

    最后的结局出意料，在中州大侠受伤倒地、败局已定，却见新娘终于出手并出人意料地以飞天神龙刺伤自己作为结束？三年前没有结局。三年后不胜不败，一场武林之谜竟是如此戏剧性的结束，但是一场大的风波却会是由此而揭开，这一切究竟为什么？

    这是一场梁羽生先生探索创新的比武，让人看到了一个求变的梁羽生。作为羽生"
8,自来正邪不两立，且看四侠斗双魔,江湖三女侠,"《江湖三女侠》一书，反清侠士同清廷高手间进行了惨死的争斗，代表了各自中坚力量的关东四侠和神魔双老在太行山中，各凭绝艺展开了一场你死我活的拼杀。关东四侠面对神魔双老率血滴子血洗血洗太行山英雄会，重创铁掌神弹杨仲英的凶焰下，凭借着强大的斗志与之进行了殊死的搏杀，这分明代表了反清侠士不屈的正义之音。
这一役可谓进行得一波三折，先是神魔双老带领血滴子血洗太行山英雄会，铁掌神弹杨仲英也受了重创，一时间太行山上血雨腥风；之后是关东四侠割了血滴子四十双耳朵和射瞎了二十双眼睛，让一应血滴子为之胆寒，大张正义之音。

    四侠双魔相会于太行山上，敬酒中暗藏杀机，生死斗中频遇凶险，四侠在不利局面下调整部署，内外结合，逐步转劣势为优势，最终却在即将得手时因玄风道长不忍误伤冯瑛，而为萨天刺所伤，一役中玄风道长的剑法，朗月禅师的喷酒，柳先开的轻功，陈元霸的大摔碑手，萨天刺的猫鹰扑击，萨天都的大力金刚手各显神通，战局一波三折，四侠经历了不利、遇险、扳平，优势，最终却是功亏一篑。然此役中四侠之败不是败在武功，而是由于不忍伤及无辜的侠义心肠，之前是面对双魔的咄咄逼人而勇于一战，之后却是宁可战败也不忍伤及无辜，关东四侠这一战可谓虽败犹荣，大张正气之风。

    尾声是柳先开背负唐晓澜又与萨天刺比赛了轻功，直到氓山，终于引出本书主角吕四娘，最后是吕四娘在独臂神尼暗助下击败双魔。一场大决战在羽生先生笔下层层推进，一波未平，一波又起，一步步地走向高潮。。整个过场差不多占了两回书，有独斗、有混战、有兵器、有拳掌、有轻功，整个过程曲折起复，令人目不暇接，有透不过气之感。在决战中关东四侠的侠义正气和双魔的凶残同时又不脱人性的一面也有所表现。言之为经典之战似不为过。"
9,白鹤亮翅，武当一剑震天下,武当一剑,"不知是巧合还是羽生先生的有意安排，梁羽生在第一部小说以太极剑法和飞鹰回旋剑法开场，在最后一部小说《武当一剑》也以这两套剑法收场。不同的是，第一部是娄无畏一人挟两套剑法扬名天下，两套剑法分不出孰高孰低，最后一部羽生先生却要让这两套剑法分个高下。还有，第一部小说凭的是招式取胜，最后一部小说却从招式上升到“剑意”，梁羽生的武打创作在本书中得到了升华，也标志着羽生先生晚期武打“创新”得到了成功。

    代表武当出战的十六岁少年蓝玉京迎战名满天下的“昆仑剑圣”向天明，一场经典的比剑通过羽生先生的妙笔呈现到读者面前。一方要雪师门之耻，一方要为师门争光。一场等待了三十年的“雪耻”之战在武当上打响。

    向天明武功大约略在牟沧浪之下，但他一上场扣住了要和已死去无相真人比剑，迫得无相真人的传人应战。蓝玉京背负着为师门争光出战向天明。名满天下的剑圣和聪明绝顶的蓝玉京展开了一场经典的比剑。这场比试，向天明胜在内力、经验，耿玉京却胜在剑法的境界上，正是境界的超越使他无惧同剑圣一战。但见双剑扬威，一攻一守，一动一静。在向天明的闪电雷霆攻势下，蓝玉京以静制动，“任他泰山压顶，我当清风拂面”，通过决斗更一步领悟上乘的“剑意”。

    高潮一幕出现了，向天明的攻势发挥到极点，到处都是他的影子、他的剑，蓝玉京却闭上了眼睛，以神感应，达到了“疱丁解牛”游离神外的境界，这在一定程度已超出了武打的境界，颇显艺术意境。最后是三十年的的一招对决，蓝玉京的白鹤亮翅对向天明的鹏展九霄，昆仑剑圣败于武当一剑之手。整场斗剑紧张迫人，又不禁使人有心旷神怡之感，实堪为决斗中的经典。"
10,擂台争雄，龙腾虎跃斗京华,,"梁羽生的武侠之路起于一场擂台，在梁羽生的处女作中自离不开以一场精彩的擂台战压阵。从整部小说中看，这场擂台战无疑压得住整部小说的阵脚。这场擂台赛在综合了传统武侠大场面、写实的基础上，开始进行了独特梁氏武功的创作。

    擂台双方的阵容无疑是庞大的，过程激烈、精彩。兵器、内功、暗器、点穴各式各样武功纷纷上台。令人眼花缭乱。很难想像初写武侠小说的作家竟能写出如此精彩的武侠小说。而且本部小说中描写的武功很多为日后梁羽生小说所沿用。如四川唐门的暗器、折扇点穴等等。擂台上压轴之战则是梁羽生最为擅长的经典比剑。娄无畏以太极剑结合飞鹰回旋剑大战岳君雄的袁公剑法，擂台上剑气纵横，让读者恍若亲临其境，不能自已，从整场擂台战看可为传统武侠的典范。

    但梁羽生在结合传统武侠创作的同时也开始融入自身独特的创作。将整场擂台战置身于义和团反抗侵略的大背景中，同时擂台双方又均为义和团阵营中人，不由引人深思，在此也决定了这是一场没有胜利者的擂台赛，擂台因八国联军进京而停止。文中最后借中国人民举起武器反抗侵略表现了羽生先生的创作史观，也为梁羽生以后的武侠创作打开了一道门径,鉴于这场擂台战无论对羽生先生创作或是对整个武侠时代的特殊意义，将之列为武侠小说的经典之战毫不为过。

    或许这场擂台战的成功，在梁羽生以后的小说中不断描写了类似擂台战的情节，在精彩、激烈程度上都超过这场大战，特别如《云海玉弓缘》珉山群雄战孟神通可算擂台战中经典之作，但我认为这场大战既首开梁氏创作之风，又具有深刻的内涵，两者相较应选这场大战为十大经典之战。"
